,date,Open,High,Low,Close,Adj Close,Volume,Pct_change
0,2020-01-03,118564.0,118792.0,117341.0,117707.0,117707.0,6834500,-0.007303517664223769
1,2020-01-06,117707.0,117707.0,116269.0,116878.0,116878.0,6570000,-0.007042911636521154
2,2020-01-07,116872.0,117076.0,115965.0,116662.0,116662.0,4854100,-0.0018480809048752045
3,2020-01-08,116667.0,117335.0,115693.0,116247.0,116247.0,5910500,-0.0035572851485488055
4,2020-01-09,116248.0,116820.0,115411.0,115947.0,115947.0,5953500,-0.0025807117603035
5,2020-01-10,115948.0,116745.0,114952.0,115503.0,115503.0,4783400,-0.0038293358172268865
6,2020-01-13,115503.0,117333.0,115503.0,117325.0,117325.0,5685100,0.015774482048085403
7,2020-01-14,117325.0,117705.0,116610.0,117632.0,117632.0,5361700,0.002616663115277973
8,2020-01-15,117632.0,117632.0,116188.0,116414.0,116414.0,5569400,-0.010354325353645222
9,2020-01-16,116415.0,117106.0,115961.0,116704.0,116704.0,5422700,0.0024911093167487852
10,2020-01-17,116710.0,118479.0,116710.0,118478.0,118478.0,4947200,0.015200850013709966
11,2020-01-20,118478.0,118862.0,117928.0,118862.0,118862.0,3843500,0.0032411080538159442
12,2020-01-21,118861.0,118861.0,117026.0,117026.0,117026.0,5085600,-0.01544648415809935
13,2020-01-22,117035.0,118401.0,117035.0,118391.0,118391.0,5765700,0.011664074650077794
14,2020-01-23,118391.0,119535.0,116906.0,119528.0,119528.0,6572400,0.00960377055688344
15,2020-01-24,119528.0,119593.0,118108.0,118376.0,118376.0,4778700,-0.009637909109162734
16,2020-01-27,118347.0,118347.0,114376.0,114482.0,114482.0,6097800,-0.03289518145570047
17,2020-01-28,114482.0,116797.0,114475.0,116479.0,116479.0,5229400,0.01744379029017673
18,2020-01-29,116494.0,117171.0,115164.0,115385.0,115385.0,5097800,-0.009392250963693005
19,2020-01-30,115375.0,115528.0,112825.0,115528.0,115528.0,6315600,0.001239329202235906
20,2020-01-31,115518.0,115518.0,113148.0,113761.0,113761.0,6219900,-0.015294993421508196
